step,epoch,total_loss,ce_loss,distill_loss,ref_ce_loss,timestamp
17700,181.2480,1.143358,0.902842,0.175245,0.065271,2026-04-26 17:25:22
17800,182.2720,1.082439,0.863210,0.171345,0.047884,2026-04-26 17:25:32
17900,183.2960,1.163055,0.923814,0.179548,0.059693,2026-04-26 17:25:41
18000,184.3200,1.043847,0.835028,0.171566,0.037253,2026-04-26 17:25:51
18100,185.3440,1.035997,0.825450,0.173920,0.036626,2026-04-26 17:26:01
18200,186.3680,1.070793,0.826292,0.172876,0.071625,2026-04-26 17:26:11
18300,187.3920,0.968954,0.759399,0.167103,0.042453,2026-04-26 17:26:20
18400,188.4160,1.096924,0.869188,0.177147,0.050588,2026-04-26 17:26:29
18500,189.4400,1.066937,0.838817,0.178313,0.049806,2026-04-26 17:26:40
18600,190.4640,1.027820,0.809709,0.173673,0.044438,2026-04-26 17:26:53
18700,191.4880,1.094704,0.866102,0.178860,0.049742,2026-04-26 17:27:06
18800,192.5120,1.028599,0.816017,0.173909,0.038673,2026-04-26 17:27:17
18900,193.5360,0.881190,0.656925,0.167609,0.056656,2026-04-26 17:27:27
19000,194.5600,1.012574,0.780196,0.173644,0.058734,2026-04-26 17:27:37
19100,195.5840,0.905581,0.704201,0.166307,0.035074,2026-04-26 17:27:47
19200,196.6080,1.014716,0.800343,0.174793,0.039580,2026-04-26 17:27:57
19300,197.6320,0.972455,0.755564,0.176855,0.040036,2026-04-26 17:28:06
19400,198.6560,0.940770,0.723003,0.169174,0.048594,2026-04-26 17:28:15
19500,199.6800,0.878255,0.659886,0.171857,0.046511,2026-04-26 17:28:24
19600,200.7040,0.857651,0.641085,0.173720,0.042847,2026-04-26 17:28:36
19700,201.7280,0.812456,0.580979,0.171091,0.060386,2026-04-26 17:28:50
19800,202.7520,0.743835,0.523795,0.172444,0.047596,2026-04-26 17:29:01
19900,203.7760,0.877858,0.654778,0.179822,0.043259,2026-04-26 17:29:11
20000,204.8000,0.833277,0.621596,0.170470,0.041210,2026-04-26 17:29:21
20100,205.8240,0.890126,0.665654,0.179261,0.045211,2026-04-26 17:29:31
20200,206.8480,0.901764,0.679275,0.182402,0.040088,2026-04-26 17:29:40
20300,207.8720,0.813207,0.606658,0.176107,0.030442,2026-04-26 17:29:50
20400,208.8960,0.772555,0.551390,0.173950,0.047216,2026-04-26 17:29:59
20500,209.9200,0.874483,0.650681,0.173877,0.049925,2026-04-26 17:30:08
20600,210.9440,0.896763,0.668541,0.180469,0.047754,2026-04-26 17:30:20
20700,211.9680,0.803138,0.575511,0.178160,0.049468,2026-04-26 17:30:33
20800,212.9920,0.760026,0.543646,0.177570,0.038810,2026-04-26 17:30:45
20900,214.0160,0.863496,0.631766,0.178675,0.053055,2026-04-26 17:30:55
21000,215.0400,0.812727,0.593381,0.174567,0.044779,2026-04-26 17:31:04
21100,216.0640,0.838541,0.610767,0.182103,0.045670,2026-04-26 17:31:14
21200,217.0880,0.795440,0.558044,0.179112,0.058285,2026-04-26 17:31:23
21300,218.1120,0.871803,0.656788,0.180627,0.034388,2026-04-26 17:31:33
21400,219.1360,0.960199,0.719223,0.193444,0.047532,2026-04-26 17:31:43
21500,220.1600,0.862229,0.637015,0.182301,0.042912,2026-04-26 17:31:51
21600,221.1840,0.817225,0.594510,0.180639,0.042077,2026-04-26 17:32:04
21700,222.2080,0.834779,0.599434,0.183769,0.051576,2026-04-26 17:32:18
21800,223.2320,0.832459,0.603750,0.180853,0.047855,2026-04-26 17:32:28
21900,224.2560,0.823189,0.593846,0.182575,0.046768,2026-04-26 17:32:38
22000,225.2800,0.792809,0.553704,0.177684,0.061421,2026-04-26 17:32:47
22100,226.3040,0.770172,0.549657,0.182447,0.038068,2026-04-26 17:32:57
22200,227.3280,0.778895,0.549245,0.173560,0.056090,2026-04-26 17:33:07
22300,228.3520,0.766701,0.523332,0.177634,0.065735,2026-04-26 17:33:16
22400,229.3760,0.782284,0.558840,0.181212,0.042232,2026-04-26 17:33:25
22500,230.4000,0.783465,0.546559,0.184179,0.052727,2026-04-26 17:33:33
22600,231.4240,0.797563,0.579540,0.183797,0.034226,2026-04-26 17:33:45
22700,232.4480,0.727606,0.517975,0.174848,0.034783,2026-04-26 17:33:56
22800,233.4720,0.749486,0.523133,0.183400,0.042953,2026-04-26 17:34:10
22900,234.4960,0.720609,0.502501,0.173947,0.044162,2026-04-26 17:34:21
23000,235.5200,0.720840,0.485495,0.178698,0.056647,2026-04-26 17:34:31
23100,236.5440,0.760422,0.526870,0.186000,0.047552,2026-04-26 17:34:40
23200,237.5680,0.741316,0.535372,0.174770,0.031174,2026-04-26 17:34:50
23300,238.5920,0.758202,0.524489,0.187676,0.046037,2026-04-26 17:34:59
23400,239.6160,0.840811,0.606754,0.184730,0.049327,2026-04-26 17:35:08
23500,240.6400,0.785676,0.555324,0.183311,0.047040,2026-04-26 17:35:17
23600,241.6640,0.767480,0.539627,0.180515,0.047339,2026-04-26 17:35:26
23700,242.6880,0.727994,0.493643,0.176097,0.058254,2026-04-26 17:35:38
23800,243.7120,0.720384,0.510091,0.177895,0.032398,2026-04-26 17:35:52
23900,244.7360,0.677030,0.444008,0.178892,0.054130,2026-04-26 17:36:02
24000,245.7600,0.733690,0.498479,0.175653,0.059558,2026-04-26 17:36:11
24100,246.7840,0.748891,0.522864,0.183492,0.042534,2026-04-26 17:36:21
24200,247.8080,0.755525,0.507020,0.177831,0.070674,2026-04-26 17:36:30
24300,248.8320,0.746124,0.513106,0.182157,0.050861,2026-04-26 17:36:39
24400,249.8560,0.816199,0.578267,0.183415,0.054516,2026-04-26 17:36:48
24500,250.8800,0.613804,0.404541,0.178333,0.030930,2026-04-26 17:36:57
24600,251.9040,0.642446,0.436102,0.181694,0.024650,2026-04-26 17:37:06
24700,252.9280,0.701586,0.482646,0.185213,0.033727,2026-04-26 17:37:16
24800,253.9520,0.584811,0.351537,0.179855,0.053419,2026-04-26 17:37:25
24900,254.9760,0.665874,0.440995,0.181835,0.043045,2026-04-26 17:37:35
25000,256.0000,0.612873,0.397397,0.184058,0.031419,2026-04-26 17:37:44
25100,257.0240,0.604356,0.390191,0.180485,0.033680,2026-04-26 17:37:54
25200,258.0480,0.548128,0.323623,0.176658,0.047846,2026-04-26 17:38:03
25300,259.0720,0.660569,0.435762,0.182831,0.041977,2026-04-26 17:38:11
25400,260.0960,0.783220,0.537157,0.185332,0.060731,2026-04-26 17:38:20
25500,261.1200,0.615785,0.377947,0.183778,0.054060,2026-04-26 17:38:30
25600,262.1440,0.662372,0.423658,0.184704,0.054009,2026-04-26 17:38:39
25700,263.1680,0.608851,0.395238,0.182901,0.030712,2026-04-26 17:38:48
25800,264.1920,0.662887,0.442283,0.183569,0.037035,2026-04-26 17:38:58
25900,265.2160,0.575786,0.357857,0.181918,0.036011,2026-04-26 17:39:07
26000,266.2400,0.563191,0.332936,0.185027,0.045228,2026-04-26 17:39:16
26100,267.2640,0.672869,0.432170,0.186831,0.053869,2026-04-26 17:39:25
26200,268.2880,0.626946,0.380218,0.181964,0.064763,2026-04-26 17:39:35
26300,269.3120,0.624425,0.390950,0.185281,0.048195,2026-04-26 17:39:44
26400,270.3360,0.619302,0.383219,0.183266,0.052816,2026-04-26 17:39:54
26500,271.3600,0.598572,0.371837,0.190555,0.036180,2026-04-26 17:40:03
26600,272.3840,0.704445,0.466721,0.188142,0.049582,2026-04-26 17:40:12
26700,273.4080,0.577794,0.363222,0.177993,0.036579,2026-04-26 17:40:22
26800,274.4320,0.659239,0.432321,0.187563,0.039356,2026-04-26 17:40:31
26900,275.4560,0.607429,0.379244,0.178984,0.049202,2026-04-26 17:40:39
27000,276.4800,0.614383,0.383751,0.182887,0.047744,2026-04-26 17:40:48
27100,277.5040,0.558834,0.333822,0.186315,0.038697,2026-04-26 17:40:56
27200,278.5280,0.574631,0.350262,0.181206,0.043163,2026-04-26 17:41:05
27300,279.5520,0.626516,0.402854,0.184977,0.038685,2026-04-26 17:41:13
27400,280.5760,0.629564,0.394017,0.186325,0.049222,2026-04-26 17:41:21
27500,281.6000,0.595624,0.367548,0.182505,0.045571,2026-04-26 17:41:30
27600,282.6240,0.551955,0.335499,0.189748,0.026708,2026-04-26 17:41:39
27700,283.6480,0.609632,0.377923,0.182068,0.049640,2026-04-26 17:41:49
27800,284.6720,0.617408,0.387947,0.182100,0.047361,2026-04-26 17:41:59
27900,285.6960,0.583701,0.354165,0.176084,0.053452,2026-04-26 17:42:09
28000,286.7200,0.597088,0.378047,0.187879,0.031162,2026-04-26 17:42:18
28100,287.7440,0.634151,0.414499,0.179744,0.039908,2026-04-26 17:42:28
28200,288.7680,0.539914,0.323133,0.181788,0.034992,2026-04-26 17:42:37
28300,289.7920,0.576791,0.364650,0.178960,0.033180,2026-04-26 17:42:46
28400,290.8160,0.580988,0.351997,0.183912,0.045079,2026-04-26 17:42:54
28500,291.8400,0.586672,0.349077,0.186069,0.051526,2026-04-26 17:43:02
28600,292.8640,0.572972,0.370545,0.183214,0.019213,2026-04-26 17:43:11
28700,293.8880,0.551316,0.335580,0.178503,0.037233,2026-04-26 17:43:19
28800,294.9120,0.643758,0.413417,0.190036,0.040305,2026-04-26 17:43:31
28900,295.9360,0.598926,0.364761,0.185023,0.049142,2026-04-26 17:43:44
29000,296.9600,0.495210,0.269354,0.185977,0.039880,2026-04-26 17:43:58
29100,297.9840,0.559001,0.345678,0.187932,0.025391,2026-04-26 17:44:07
29200,299.0080,0.554030,0.330579,0.181912,0.041539,2026-04-26 17:44:17
29300,300.0320,0.574810,0.363910,0.178730,0.032170,2026-04-26 17:44:26
29400,301.0560,0.527068,0.298639,0.176177,0.052252,2026-04-26 17:44:36
29500,302.0800,0.469828,0.252928,0.178831,0.038069,2026-04-26 17:44:45
29600,303.1040,0.520311,0.310990,0.181351,0.027970,2026-04-26 17:44:54
29700,304.1280,0.475022,0.256924,0.182961,0.035137,2026-04-26 17:45:03
29800,305.1520,0.458414,0.243633,0.178660,0.036122,2026-04-26 17:45:13
29900,306.1760,0.484001,0.251869,0.183082,0.049050,2026-04-26 17:45:26
30000,307.2000,0.447172,0.237682,0.180181,0.029309,2026-04-26 17:45:37
30100,308.2240,0.524502,0.303044,0.180477,0.040981,2026-04-26 17:45:47
30200,309.2480,0.491221,0.258931,0.177638,0.054652,2026-04-26 17:45:57
30300,310.2720,0.493212,0.281323,0.180197,0.031692,2026-04-26 17:46:06
30400,311.2960,0.422120,0.215093,0.176816,0.030210,2026-04-26 17:46:15
30500,312.3200,0.479982,0.268843,0.177390,0.033750,2026-04-26 17:46:25
30600,313.3440,0.494921,0.267510,0.177818,0.049593,2026-04-26 17:46:35
